epems	election management system used	election_profiles	Which election management system was in use at that election?	string
eppphwscan	election hardware in polling place: scanners	election_profiles	Were scanners used in polling places for this election?	boolean
eppphwdre	election hardware in polling place: DRE	election_profiles	Were DREs used in polling places for this election?	boolean
eppphwmarkd	election hardware in polling place: marking devices	election_profiles	Were Marking Devices used in polling places for this election?	boolean
eppphwpollbk	election hardware in polling place: poll book	election_profiles	Were Poll Books used in polling places for this election?	boolean
eppphwoth	election hardware in polling place: other	election_profiles	Was there a different type of election hardware used in the polling place?	boolean
epetallysys	election tally system used	election_profiles	Which tally system was used?	string
epppbalpap	number of ballots cast on paper at the polls	election_profiles	What was the total number of ballots cast ON PAPER at the polls?	integer
epppbalpapar	paper ballot used in polling place: complete the arrow	election_profiles	Did you use the "complete the arrow" paper ballot in the polling place?	boolean
epppbalpapbu	paper ballot used in polling place: fill in the oval/rectangle	election_profiles	Did you use the "fill in the oval/rectangle" paper ballot in the polling place?	boolean
epppbalpapot	paper ballot used in polling place: other	election_profiles	Did you use other paper ballot types in the polling place?	boolean
epppbalaccsd	number of ballots cast on accessible device (excluding automark)	election_profiles	How many ballots were cast on an accessible device? Please don't include ballots that were cast on the Automark.	integer
eprv	number of registered voters 	election_profiles	What was the number of registered voters for this election?	integer
eppploc	number of polling place locations 	election_profiles	How many buildings/sites were used to locate polling places? If there were 2 polling places in one building, please count this as 1.	integer
epprecwpp	number of voting precincts assigned to polling place locations	election_profiles	How many of your precincts had a polling place allocated to it?	integer
epprecvbm	number of mail ballot precincts	election_profiles	How many mail-ballot only precincts did you have (that did not have polling places)?	integer
epbaltype	number of ballot types	election_profiles	How many ballot types did you have in this election?	integer
epbalpage	number of pages or range of pages printed in Sample Ballot and voter information pamphlets 	election_profiles	What was the number of pages in your sample ballot booklet (if more than one booklet please give the range from smallest to largest).	integer
epbalsampvip	number of Sample Ballot and voter information pamphlets printed	election_profiles	Please include all printed sample ballot and voter information pamphlets in all languages.	integer
epvipinsrt	number of voter information pamphlet inserts printed	election_profiles	If a voter information pamphlet insert was sent with VBM ballots instead of a Sample Ballot book, how many were printed? Please include all languages.	integer
epbalofficl	number of official ballots ordered	election_profiles	How many official ballots were ordered (include all languages)?	integer
epvbmmail	total number of VBM ballots mailed 	election_profiles	Please include all VBM ballots - perms, requests, seconds, UOCAVA, and those for mail ballot precincts.	integer
epvbmmailprm	Of the VBM ballots mailed, how many were mailed to permanent vote-by-mail voters	election_profiles	How many of those were mailed to permanent VBM voters?	integer
epvbmmailmbp	Of the VBM ballots mailed, how many were mailed to voters in mail ballot precincts	election_profiles	How many of those were mailed to VBM voters that live in all mail-ballot precincts?	integer
epvbmmailuo	Of the VBM ballots mailed, how many were mailed to UOCAVA voters	election_profiles	How many of those were mailed to UOCAVA voters?	integer
epvbmotc	number of VBM ballots issued over the counter	election_profiles	How many mail-ballots were issued over the counter?	integer
epvbmret	total number of VBM ballots counted	election_profiles	Also known as "good" VBMs, how many were returned and counted? Please include all VBM from all sources.	integer
epvbmretprm	Of the counted VBMs, how many were returned by permanent vote-by-mail voters	election_profiles	Of the counted VBMs, how many came from permanent VBM voters?	integer
epvbmretmbp	Of the counted VBMs, how many were returned from voters in mail ballot precincts	election_profiles	Of the counted VBMs, how many came from voters in Mail-Ballot precincts?	integer
epvbmretuo	Of the counted VBMs, how many were returned from UOCAVA voters	election_profiles	Of the counted VBMs, how many came from UOCAVA voters?	integer
epvbmundel	total number of VBM ballots returned undeliverable	election_profiles	How many VBMs were returned by the post office as undeliverable?	integer
epvbmretpp	total number of VBM ballots returned at polling places	election_profiles	What was the number of VBM ballots returned by the polling places?	integer
epvbmchal	total number of VBM ballots challenged	election_profiles	What was the total number of total VBMs challenged?	integer
epvbmirevl	number of ballots issued at remote and early voting locations	election_profiles	What was the total number of ballots issued at remote and early voting location?	integer
epvbmrrevl	number of ballots returned at remote and early voting locations	election_profiles	What was the total number of ballots returned at remote and early voting location?	integer
epvbmprovc	total number of provisional ballots counted or partially counted	election_profiles	What was the number of provisional ballots that were completely or partially counted?	integer
epvbmprovnc	total number of provisional ballots not counted	election_profiles	What was the total number of provisional ballots that were not counted?	integer
epprovcwbt	total number of counted provisional ballots cast on wrong ballot type	election_profiles	What was the total number of counted provisional ballots cast on wrong ballot type?	integer
epprovcwp	total number of counted provisional ballots cast in wrong precinct	election_profiles	What was the total number of counted provisional ballots cast in wrong precinct?	integer
epprovncvnr	total number of provisional ballots not counted: voter not registered	election_profiles	What was the total number of provisional ballots not counted because voter was not registered?	integer
epprovncbrva	total number of provisional ballots not counted: ballot returned or noted already	election_profiles	What was the total number of provisional ballots not counted because the ballot had been returned or voted already?	integer
epprovncoth	total number of provisional ballots not counted: other reasons	election_profiles	What was the total number of provisional ballots not counted for other reasons?	integer
epprovvbm	total number of VBM voters voting provisionally 	election_profiles	What was the total number of VBM voters voting provisionally?	integer
epprovnor	total number of non-VBM voters voting provisionally: not on roster	election_profiles	What was the total number of non-VBM voters voting provisionally because they were not on the roster?	integer
epprovhava	total number of non-VBM voters voting provisionally: HAVA ID	election_profiles	What was the total number of non-VBM voters voting provisionally because due to HAVA ID?	integer
epprovunivs	total number of provisional votes cast on university campuses by students only	election_profiles	What was the total number of provisional votes cast on university campuses by students only?	integer
epprovoutr	total number of provisional voters flagged for outreach	election_profiles	What was the total number of provisional voters flagged for outreach?	integer
epcanvdrere	percent of DREs manually recounted	election_profiles	What percentage of the DREs were manually recounted?	integer
eplangvra	languages assistance under: VRA	election_profiles	For what languages did you provide assistance under the VRA?	string
eplangcaec	languages assistance under: CA EC 12303 and 14201	election_profiles	For what languages did you provide assistance under the CA EC 12303 and 14201?	string
eplangloc	languages assistance under: agreements with local jurisdictions	election_profiles	Please fill in languages that you are providing per agreements with local jurisdictions.	string
epcand	number of candidates on the ballot	election_profiles	What was the total number of candidates on the ballot?	integer
epcandfsc	number of candidates for federal/state/county 	election_profiles	Of the total number of candidates on the ballot, how many were running for federal/state/county offices?	integer
epcandcd	number of candidates for cities/districts 	election_profiles	Of the total number of candidates on the ballot, how many were running for city/district offices?	integer
epcandwi	number of write-in candidates	election_profiles	What was the total number of qualified write-in candidates?	integer
epcandwifsc	number of write-in candidates for federal/state/county 	election_profiles	Of the total number of write-in candidates, how many were running for federal/state/county offices?	integer
epcandwicd	number of write-in candidates for cities/districts 	election_profiles	Of the total number of write-in candidates, how many were running for city/district offices?	integer
epmeasr	number of measures on the ballot	election_profiles	What was the total number of measures on the ballot?	integer
epmeasrfsc	number of measures for federal/state/county 	election_profiles	Of the total number of measures on the ballot, how many were for federal/state/county?	integer
epmeasrcd	number of measures for cities/districts 	election_profiles	Of the total number of measures on the ballot, how many were for cities and districts?	integer
epicrp	indirect cost rate (ICRP) 	election_profiles	Please give the percent Indirect Cost rate that was used in this election.	integer
epicrpfed	indirect cost rate method used: federal indirect cost allocation plan	election_profiles	Which method did you use to arrive at your indirect cost rate? Did you use the Federal Indirect Cost Allocation Plan to arrive at the Indirect Cost rate?	boolean
epicrpcounty	indirect cost rate method used: county auditor	election_profiles	Which method did you use to arrive at your indirect cost rate? Did you use the County Auditor's rate?	boolean
epicrpown	indirect cost rate method used: construct own rate	election_profiles	Which method did you use to arrive at your indirect cost rate? Did you construct your own rate?	boolean
epicrpoth	indirect cost rate method used: other	election_profiles	Which method did you use to arrive at your indirect cost rate? Did you use arrive at your rate differently from the methods above?	boolean
eptotindirc	total indirect cost amount	election_profiles	What was your total indirect cost amount?	integer
eptotelectc	total election costs 	election_profiles	What were your total election costs for this election?	integer
